hazard_code,admin_division,phase,task_modules,role,criticality
Z14,IX,O,,wspierający,niska
Z14,X,O,,wspierający,niska
Z14,XI,O,,wspierający,niska
Z14,XII,O,,wspierający,niska
Z14,XIII,O,,wspierający,niska
Z14,XIV,O,,wspierający,niska
Z14,XV,O,,wspierający,niska
Z14,XVI,O,,wspierający,niska
Z14,XVII,O,,wspierający,niska
Z14,XVIII,O,1,wspierający,niska
Z14,XIX,O,,wspierający,niska
Z14,XX,O,1,wspierający,niska
Z14,XXI,O,,wspierający,niska
Z14,XXII,O,3;4;7,współpracujący,niska
Z14,XXIII,O,,wspierający,niska
Z14,XXIV,O,,wspierający,niska
Z14,XXV,O,3;4;7,wiodący,średnia
Z15,I,R,1,wspierający,niska
Z15,II,R,,wspierający,niska
Z15,III,R,1,wspierający,niska
Z15,IV,R,,wspierający,niska
Z15,V,R,1,wspierający,niska
Z15,VI,R,,wspierający,niska
Z15,VII,R,1;2;4;5;6;7,wiodący,średnia
Z15,VIII,R,,wspierający,niska
Z15,IX,R,1;2;4;6;7,współpracujący,niska
Z15,X,R,,wspierający,niska
Z15,XI,R,,wspierający,niska
Z15,XII,R,,wspierający,niska
Z15,XIII,R,,wspierający,niska
Z15,XIV,R,1;2;4;5;6;7,współpracujący,niska
Z15,XV,R,,wspierający,niska
Z15,XVI,R,,wspierający,niska
Z15,XVII,R,,wspierający,niska
Z15,XVIII,R,1,wspierający,niska
Z15,XIX,R,1;2;4;5;6;7,współpracujący,niska
Z15,XX,R,1;2;4;6;7,współpracujący,niska
Z15,XXI,R,1;2;4;6;7,współpracujący,niska
Z15,XXII,R,,wspierający,niska
Z15,XXIII,R,,wspierający,niska
Z15,XXIV,R,,wspierający,niska
Z15,XXV,R,1,wspierający,niska
Z15,I,O,1,wspierający,niska
Z15,II,O,,wspierający,niska
Z15,III,O,1,wspierający,niska
Z15,IV,O,,wspierający,niska
Z15,V,O,1,wspierający,niska
Z15,VI,O,3;6;7,współpracujący,niska
Z15,VII,O,3;6;7,wiodący,średnia
Z15,VIII,O,,wspierający,niska
Z15,IX,O,3;6;7,współpracujący,niska
Z15,X,O,,wspierający,niska
Z15,XI,O,,wspierający,niska
Z15,XII,O,,wspierający,niska
Z15,XIII,O,,wspierający,niska
Z15,XIV,O,,wspierający,niska
Z15,XV,O,,wspierający,niska
Z15,XVI,O,,wspierający,niska
Z15,XVII,O,,wspierający,niska
Z15,XVIII,O,1,wspierający,niska
Z15,XIX,O,,wspierający,niska
Z15,XX,O,3;6;7,współpracujący,niska
Z15,XXI,O,3;6;7,wiodący,średnia
Z15,XXII,O,,wspierający,niska
Z15,XXIII,O,,wspierający,niska
Z15,XXIV,O,,wspierający,niska
Z15,XXV,O,1,wspierający,niska
Z16,I,R,1,wspierający,niska
Z16,II,R,,wspierający,niska
Z16,III,R,1,wspierający,niska
Z16,IV,R,,wspierający,niska
Z16,V,R,1,wspierający,niska
Z16,VI,R,,wspierający,niska
Z16,VII,R,,wspierający,niska
Z16,VIII,R,,wspierający,niska
Z16,IX,R,1;2;4;7,współpracujący,niska
Z16,X,R,1;2;4;7,współpracujący,niska
Z16,XI,R,,wspierający,niska
Z16,XII,R,,wspierający,niska
Z16,XIII,R,1;2;4;7,współpracujący,niska
Z16,XIV,R,1;2;4;5;7,współpracujący,niska
Z16,XV,R,,wspierający,niska
Z16,XVI,R,,wspierający,niska
Z16,XVII,R,,wspierający,niska
Z16,XVIII,R,1;2;4;7,współpracujący,niska
Z16,XIX,R,1;2;4;5;7,wiodący,średnia
Z16,XX,R,1;2;4;7,współpracujący,niska
Z16,XXI,R,,wspierający,niska
Z16,XXII,R,,wspierający,niska
Z16,XXIII,R,,wspierający,niska
Z16,XXIV,R,,wspierający,niska
Z16,XXV,R,1,wspierający,niska
Z16,I,O,1,wspierający,niska
Z16,II,O,,wspierający,niska
Z16,III,O,1,wspierający,niska
Z16,IV,O,,wspierający,niska
Z16,V,O,1,wspierający,niska
Z16,VI,O,,wspierający,niska
Z16,VII,O,,wspierający,niska
Z16,VIII,O,,wspierający,niska
Z16,IX,O,3;7,współpracujący,niska
Z16,X,O,3;7,współpracujący,niska
Z16,XI,O,,wspierający,niska
Z16,XII,O,,wspierający,niska
Z16,XIII,O,,wspierający,niska
Z16,XIV,O,,wspierający,niska
Z16,XV,O,,wspierający,niska
Z16,XVI,O,,wspierający,niska
Z16,XVII,O,,wspierający,niska
Z16,XVIII,O,3;7,wiodący,średnia
Z16,XIX,O,3;7,wiodący,średnia
Z16,XX,O,1,wspierający,niska
Z16,XXI,O,,wspierający,niska
Z16,XXII,O,,wspierający,niska
Z16,XXIII,O,3;7,współpracujący,niska
Z16,XXIV,O,,wspierający,niska
Z16,XXV,O,1,wspierający,niska
Z17,I,R,1,wspierający,niska
Z17,II,R,,wspierający,niska
Z17,III,R,1,wspierający,niska
Z17,IV,R,,wspierający,niska
Z17,V,R,1,wspierający,niska
Z17,VI,R,,wspierający,niska
Z17,VII,R,,wspierający,niska
Z17,VIII,R,,wspierający,niska
Z17,IX,R,1;2;4;6;7,współpracujący,niska
Z17,X,R,,wspierający,niska
Z17,XI,R,,wspierający,niska
Z17,XII,R,,wspierający,niska
Z17,XIII,R,,wspierający,niska
Z17,XIV,R,1;2;4;5;6;7,współpracujący,niska
Z17,XV,R,,wspierający,niska
Z17,XVI,R,,wspierający,niska
Z17,XVII,R,,wspierający,niska
Z17,XVIII,R,1,wspierający,niska
Z17,XIX,R,1;2;4;5;6;7,wiodący,średnia
Z17,XX,R,1;2;4;6;7,współpracujący,niska
Z17,XXI,R,1;2;4;5;6;7,wiodący,średnia
Z17,XXII,R,1;2;4;5;6;7,współpracujący,niska
Z17,XXIII,R,,wspierający,niska
Z17,XXIV,R,,wspierający,niska
Z17,XXV,R,1,wspierający,niska
Z17,I,O,1,wspierający,niska
Z17,II,O,3;6;7,współpracujący,niska
Z17,III,O,1,wspierający,niska
Z17,IV,O,,wspierający,niska
Z17,V,O,1,wspierający,niska
Z17,VI,O,,wspierający,niska
Z17,VII,O,,wspierający,niska
Z17,VIII,O,,wspierający,niska
Z17,IX,O,3;6;7,wiodący,średnia
Z17,X,O,,wspierający,niska
Z17,XI,O,,wspierający,niska
Z17,XII,O,,wspierający,niska
Z17,XIII,O,,wspierający,niska
Z17,XIV,O,,wspierający,niska
Z17,XV,O,,wspierający,niska
Z17,XVI,O,,wspierający,niska
Z17,XVII,O,,wspierający,niska
Z17,XVIII,O,1,wspierający,niska
Z17,XIX,O,,wspierający,niska
Z17,XX,O,3;6;7,współpracujący,niska
Z17,XXI,O,3;6;7,wiodący,średnia
Z17,XXII,O,,wspierający,niska
Z17,XXIII,O,3;6;7,współpracujący,niska
Z17,XXIV,O,,wspierający,niska
Z17,XXV,O,1,wspierający,niska
Z18,I,R,1;2;4;7,współpracujący,średnia
Z18,II,R,,wspierający,niska
Z18,III,R,1,wspierający,niska
Z18,IV,R,,wspierający,niska
Z18,V,R,1,wspierający,niska
Z18,VI,R,,wspierający,niska
Z18,VII,R,,wspierający,niska
Z18,VIII,R,,wspierający,niska
Z18,IX,R,1;2;4;7,współpracujący,średnia
Z18,X,R,,wspierający,niska
Z18,XI,R,,wspierający,niska
Z18,XII,R,,wspierający,niska
Z18,XIII,R,1;2;4;7,współpracujący,średnia
Z18,XIV,R,,wspierający,niska
Z18,XV,R,,wspierający,niska
Z18,XVI,R,,wspierający,niska
Z18,XVII,R,,wspierający,niska
Z18,XVIII,R,1;2;4;7,współpracujący,średnia
Z18,XIX,R,1;2;4;7,wiodący,wysoka
Z18,XX,R,1,wspierający,niska
Z18,XXI,R,,wspierający,niska
Z18,XXII,R,,wspierający,niska
Z18,XXIII,R,,wspierający,niska
Z18,XXIV,R,,wspierający,niska
Z18,XXV,R,1,wspierający,niska
Z18,I,O,3;7,współpracujący,średnia
Z18,II,O,,wspierający,niska
Z18,III,O,1,wspierający,niska
Z18,IV,O,,wspierający,niska
Z18,V,O,1,wspierający,niska
Z18,VI,O,,wspierający,niska
Z18,VII,O,,wspierający,niska
Z18,VIII,O,,wspierający,niska
Z18,IX,O,,wspierający,niska
Z18,X,O,,wspierający,niska
Z18,XI,O,,wspierający,niska
Z18,XII,O,,wspierający,niska
Z18,XIII,O,,wspierający,niska
Z18,XIV,O,,wspierający,niska
Z18,XV,O,,wspierający,niska
Z18,XVI,O,,wspierający,niska
Z18,XVII,O,,wspierający,niska
Z18,XVIII,O,3;7,wiodący,wysoka
Z18,XIX,O,3;7,wiodący,wysoka
Z18,XX,O,1,wspierający,niska
Z18,XXI,O,,wspierający,niska
Z18,XXII,O,,wspierający,niska
Z18,XXIII,O,3;7,współpracujący,średnia
Z18,XXIV,O,,wspierający,niska
Z18,XXV,O,1,wspierający,niska
Z19,I,R,1,wspierający,niska
Z19,II,R,,wspierający,niska
Z19,III,R,1,wspierający,niska
Z19,IV,R,1;2;4;7,współpracujący,niska
Z19,V,R,1,wspierający,niska
Z19,VI,R,,wspierający,niska
Z19,VII,R,,wspierający,niska
Z19,VIII,R,,wspierający,niska
Z19,IX,R,1;2;4;7,współpracujący,niska
Z19,X,R,,wspierający,niska
Z19,XI,R,,wspierający,niska
Z19,XII,R,,wspierający,niska
Z19,XIII,R,1;2;4;7,współpracujący,niska
Z19,XIV,R,,wspierający,niska
Z19,XV,R,,wspierający,niska
Z19,XVI,R,,wspierający,niska
Z19,XVII,R,,wspierający,niska
Z19,XVIII,R,1,wspierający,niska
Z19,XIX,R,1;2;4;7,wiodący,średnia
Z19,XX,R,1,wspierający,niska
Z19,XXI,R,,wspierający,niska
Z19,XXII,R,1;2;4;7,współpracujący,niska
Z19,XXIII,R,1;2;4;7,współpracujący,niska
Z19,XXIV,R,1;2;4;7,wiodący,średnia
Z19,XXV,R,1,wspierający,niska
Z19,I,O,1,wspierający,niska
Z19,II,O,3;4;7,wiodący,średnia
Z19,III,O,1,wspierający,niska
Z19,IV,O,3;4;7,współpracujący,niska
Z19,V,O,1,wspierający,niska
Z19,VI,O,,wspierający,niska
Z19,VII,O,,wspierający,niska
Z19,VIII,O,,wspierający,niska
Z19,IX,O,3;4;7,współpracujący,niska
Z19,X,O,,wspierający,niska
Z19,XI,O,,wspierający,niska
Z19,XII,O,,wspierający,niska
Z19,XIII,O,,wspierający,niska
Z19,XIV,O,,wspierający,niska
Z19,XV,O,,wspierający,niska
Z19,XVI,O,,wspierający,niska
Z19,XVII,O,,wspierający,niska
Z19,XVIII,O,1,wspierający,niska
Z19,XIX,O,,wspierający,niska
Z19,XX,O,1,wspierający,niska
Z19,XXI,O,,wspierający,niska
Z19,XXII,O,3;4;7,wiodący,średnia
Z19,XXIII,O,3;4;7,współpracujący,niska
Z19,XXIV,O,,wspierający,niska
Z19,XXV,O,1,wspierający,niska
Z20,I,R,1;4;7,wiodący,wysoka
Z20,II,R,,wspierający,niska
Z20,III,R,1,wspierający,niska
Z20,IV,R,,wspierający,niska
Z20,V,R,1,wspierający,niska
Z20,VI,R,,wspierający,niska
Z20,VII,R,,wspierający,niska
Z20,VIII,R,,wspierający,niska
Z20,IX,R,,wspierający,niska
Z20,X,R,1;4;7,wiodący,wysoka
Z20,XI,R,,wspierający,niska
Z20,XII,R,,wspierający,niska
Z20,XIII,R,1;4;7,współpracujący,średnia
Z20,XIV,R,1;4;7,współpracujący,średnia
Z20,XV,R,,wspierający,niska
Z20,XVI,R,,wspierający,niska
Z20,XVII,R,,wspierający,niska
Z20,XVIII,R,1,wspierający,niska
Z20,XIX,R,1;4;7,współpracujący,średnia
Z20,XX,R,1;4;7,współpracujący,średnia
Z20,XXI,R,,wspierający,niska
Z20,XXII,R,,wspierający,niska
Z20,XXIII,R,,wspierający,niska
Z20,XXIV,R,,wspierający,niska
Z20,XXV,R,1,wspierający,niska
Z20,I,O,3;7,wiodący,wysoka
Z20,II,O,,wspierający,niska
Z20,III,O,1,wspierający,niska
Z20,IV,O,,wspierający,niska
Z20,V,O,1,wspierający,niska
Z20,VI,O,,wspierający,niska
Z20,VII,O,,wspierający,niska
Z20,VIII,O,,wspierający,niska
Z20,IX,O,,wspierający,niska
Z20,X,O,3;7,wiodący,wysoka
Z20,XI,O,,wspierający,niska
Z20,XII,O,,wspierający,niska
Z20,XIII,O,3;7,współpracujący,średnia
Z20,XIV,O,,wspierający,niska
Z20,XV,O,,wspierający,niska
Z20,XVI,O,,wspierający,niska
Z20,XVII,O,,wspierający,niska
Z20,XVIII,O,3;7,współpracujący,średnia
Z20,XIX,O,,wspierający,niska
Z20,XX,O,3;7,współpracujący,średnia
Z20,XXI,O,,wspierający,niska
Z20,XXII,O,,wspierający,niska
Z20,XXIII,O,,wspierający,niska
Z20,XXIV,O,,wspierający,niska
Z20,XXV,O,1,wspierający,niska
